Feature importance, threshold: 0.0
Rank	Feature Name	Feature Importance
0	AGE	0.0589740634659364
1	BILL_AMT1	0.05469270018315001
2	BILL_AMT6	0.05312604532751496
3	BILL_AMT2	0.05282182645719225
4	BILL_AMT5	0.05268396248931708
5	BILL_AMT4	0.0525774563162313
6	LIMIT_BAL	0.0524637964408724
7	BILL_AMT3	0.051562603216419624
8	PAY_0	0.04810608438965602
9	PAY_AMT6	0.04544273603230592
10	PAY_AMT2	0.04429480175753946
11	PAY_AMT3	0.04426098009150865
12	PAY_AMT1	0.043844869938191894
13	PAY_AMT4	0.04272733551390742
14	PAY_AMT5	0.04253688303085387
15	PAY_2	0.021504067089472934
16	WORK_YEARS	0.018793044649620106
17	PAY_6	0.01689551660005295
18	PAY_4	0.01585136607387639
19	PAY_3	0.015675776756437377
20	PAY_5	0.01514226721121091
21	MARRIAGE_1.0	0.010595931126510728
22	EDUCATION_2.0	0.010297529575361961
23	SEX_1.0	0.009869414288081592
24	MARRIAGE_2.0	0.009684079066145523
25	SEX_2.0	0.009627388706361832
26	EDUCATION_1.0	0.009445643699107272
27	JOB_TYPE_12.0	0.009109007886498741
28	JOB_TYPE_11.0	0.008255424467228406
29	EDUCATION_3.0	0.008007555305759072
30	JOB_TYPE_6.0	0.006825993464849289
31	JOB_TYPE_3.0	0.006265381319454
32	JOB_TYPE_10.0	0.0061952326817976315
33	JOB_TYPE_7.0	0.006169322182185395
34	JOB_TYPE_1.0	0.006159617266919038
35	JOB_TYPE_14.0	0.006079959571679189
36	JOB_TYPE_2.0	0.005686574085002216
37	JOB_TYPE_13.0	0.005641317223927813
38	JOB_TYPE_5.0	0.005363086258838081
39	JOB_TYPE_4.0	0.004780762873156676
40	JOB_TYPE_9.0	0.004362756652658026
41	JOB_TYPE_15.0	0.003366334200324385
42	JOB_TYPE_8.0	0.001923162434682717
43	MARRIAGE_3.0	0.001079512966100663
44	EDUCATION_6.0	0.000501003756816964
45	EDUCATION_4.0	0.0003543014728015949
46	EDUCATION_5.0	0.00032457372405272596
47	MARRIAGE_0.0	4.62688908044903e-05
48	EDUCATION_0.0	4.681821626013237e-06
